customer_id,age,location,subscription_type,payment_plan,num_subscription_pauses,payment_method,customer_service_inquiries,signup_date,weekly_hours,average_session_length,song_skip_rate,weekly_songs_played,weekly_unique_songs,num_favorite_artists,num_platform_friends,num_playlists_created,num_shared_playlists,notifications_clicked,churned
47,86,North Carolina,premium,annual,monthly,credit,some,10/11/2018,8.199582633,0.3772579019,0.20,145,85,19,22,20,10,53,0
48,37,South Carolina,family premium,annual,annual,credit,many,4/1/2021,25.37354717,0.9553818777,0.77,337,258,44,73,18,9,0,0
49,57,New York,basic,annual,annual,debit,few,5/30/2021,19.67453684,0.7087797164,0.04,237,154,34,43,11,4,29,0
50,36,Maine,basic,monthly,annual,credit,many,9/11/2017,2.237010074,1.058282749,0.06,39,35,4,84,6,2,228,0
51,33,Nebrasksa,premium,monthly,monthly,credit,some,8/23/2014,12.74424792,2.228573901,0.96,157,134,18,97,11,3,99,1
52,86,California,premium,monthly,monthly,credit,few,4/10/2018,4.268261399,0.3721763709,0.18,64,33,11,41,14,7,180,1
53,46,California,basic,annual,annual,debit,some,9/1/2014,16.72597333,1.212691844,0.77,280,143,32,69,12,3,89,0
54,26,Montana,student,monthly,monthly,venmo,none,11/29/2017,6.79273079,0.5381335215,0.68,101,63,14,89,11,3,50,1
55,33,Virginia,student,monthly,annual,credit,few,5/14/2015,26.99316022,3.841054727,0.27,512,269,51,88,9,3,211,1
56,37,New York,premium,annual,annual,credit,few,7/22/2019,29.83768114,0.8566100002,0.43,494,357,55,78,10,3,46,0
57,82,Florida,family premium,annual,annual,venmo,some,1/27/2015,16.14709163,2.401868075,0.01,203,153,24,50,9,3,2,0
58,21,North Dakota,student,monthly,monthly,venmo,many,12/22/2014,13.41710046,0.9893538814,0.40,164,90,23,95,15,15,186,0
59,32,Nebrasksa,family premium,annual,annual,credit,few,8/30/2020,25.23220058,3.527270356,0.20,350,201,38,78,14,14,0,0
60,47,Georgia,family premium,annual,annual,venmo,none,8/13/2017,13.30967846,0.7471930271,0.65,164,87,24,59,11,6,2,0
61,53,New Jersey,basic,monthly,annual,credit,none,4/23/2020,7.908778666,0.4976602744,0.75,111,60,18,65,14,14,42,0
62,33,California,premium,monthly,annual,credit,many,5/18/2015,29.69916135,1.384385399,0.19,379,283,42,91,15,5,156,0
63,36,Idaho,family premium,annual,monthly,venmo,none,6/20/2016,6.072001537,0.9842237459,0.45,108,91,11,87,5,5,1,0
64,41,Florida,premium,monthly,annual,credit,none,11/30/2013,2.574698231,0.5715611977,0.16,32,31,5,83,11,3,137,0
65,72,Washington,family premium,monthly,annual,credit,some,8/15/2016,14.13763838,0.7570031555,0.06,210,108,29,36,12,6,0,1
66,30,Alabama,student,annual,monthly,credit,some,6/14/2021,7.973363143,1.227529485,0.24,112,92,11,88,11,4,124,0
67,54,Nebrasksa,basic,annual,annual,debit,many,11/4/2015,0.1025083098,0.739343525,0.29,2,2,2,75,11,3,103,0
68,62,Nebrasksa,family premium,annual,annual,credit,few,3/31/2015,18.98785644,1.346002561,0.06,286,184,30,50,13,3,0,1
69,57,California,basic,annual,annual,debit,none,4/5/2018,2.531691831,0.7424632309,0.20,45,33,12,65,14,5,87,0
70,72,Idaho,family premium,annual,annual,credit,some,7/20/2015,10.95946052,0.8322728996,0.40,144,87,18,48,6,3,2,0
71,50,New York,family premium,annual,annual,venmo,some,3/18/2019,9.824700416,0.5709771411,0.12,168,146,19,59,11,3,2,0
72,67,Maine,basic,monthly,annual,debit,some,4/2/2020,14.42964435,0.6384808135,0.37,251,176,34,43,6,2,113,1
73,34,Alabama,premium,annual,monthly,debit,many,9/6/2013,3.469253334,0.8591579574,0.97,44,34,12,83,8,2,183,0
74,60,Florida,basic,annual,annual,credit,many,1/6/2014,12.23328191,0.5572057361,0.47,170,145,23,57,9,9,291,0
75,60,Washington,student,monthly,monthly,credit,many,5/31/2019,21.50400522,1.269291167,0.03,264,183,32,60,12,6,54,1
76,81,Montana,premium,annual,annual,credit,none,1/6/2020,15.58227004,2.168824629,0.19,200,101,20,36,11,4,90,1
77,45,Wisconsin,basic,annual,annual,credit,many,1/18/2015,19.08051421,1.838064307,0.81,296,156,33,82,11,3,132,0
78,29,Washington,premium,monthly,annual,debit,few,4/25/2015,23.11040134,0.4098277579,0.47,391,382,43,90,13,4,97,0
79,26,Washington,premium,annual,annual,debit,few,8/30/2016,23.83993474,3.249696338,0.45,396,199,40,96,15,5,60,0
80,50,Maine,premium,monthly,monthly,venmo,many,5/19/2015,17.6286682,2.005682398,0.41,327,215,36,67,6,2,80,0
81,38,Nebrasksa,student,annual,monthly,debit,few,12/1/2021,16.80136534,2.557502683,0.42,265,166,29,82,11,3,31,0
82,28,Washington,premium,annual,monthly,debit,some,7/28/2014,18.77474423,1.512515876,0.39,262,175,29,86,13,3,129,0
83,23,New Jersey,student,monthly,monthly,debit,some,6/10/2020,6.596476644,0.5437576734,0.25,115,94,14,91,14,14,79,1
84,47,California,family premium,annual,annual,debit,few,9/21/2015,3.831209803,1.030805809,0.02,56,34,10,74,12,6,1,0
85,84,New Jersey,family premium,annual,annual,credit,none,8/21/2021,18.17898968,1.372660181,0.64,323,164,41,14,12,4,1,1
86,22,New York,student,monthly,annual,venmo,few,7/9/2017,2.734158613,0.2492160449,0.06,38,22,13,101,12,6,68,0
87,25,New Jersey,student,monthly,monthly,venmo,few,6/14/2017,19.58777117,1.623708263,0.24,295,258,36,95,12,12,235,1
88,41,South Carolina,family premium,annual,annual,credit,few,12/31/2019,23.69714261,1.877160602,0.80,437,284,48,65,19,19,1,0
89,25,Georgia,premium,monthly,annual,debit,none,1/22/2017,9.948756097,1.504187644,0.05,136,111,24,103,11,3,175,0
90,37,New York,family premium,annual,annual,debit,none,3/4/2018,20.93498284,0.84300308,0.47,338,308,39,72,12,12,2,0
91,35,Idaho,basic,annual,annual,credit,few,9/4/2013,21.66360472,2.558523504,0.71,390,273,47,80,5,3,78,0
92,32,South Carolina,premium,annual,annual,credit,some,11/8/2018,15.68779401,0.1901078216,0.14,277,166,28,76,19,5,58,0
93,47,Alabama,student,monthly,monthly,credit,few,1/24/2017,3.65194558,0.439749924,0.05,55,41,10,77,8,2,82,0
94,38,West Virginia,family premium,annual,annual,credit,some,11/2/2014,23.11764123,2.299728347,0.16,335,332,43,74,18,5,2,0
95,54,Georgia,family premium,annual,annual,debit,few,8/28/2021,7.589251592,0.938949534,0.84,128,70,16,49,11,4,2,0
96,28,Wisconsin,family premium,annual,annual,credit,few,7/1/2013,20.67856716,0.0240017601,0.24,351,204,44,88,11,11,0,0
97,20,Georgia,student,monthly,monthly,debit,few,1/22/2020,17.31384156,0.5169395683,0.36,219,116,23,99,11,3,47,0
98,51,California,family premium,monthly,annual,venmo,some,4/5/2018,4.245298692,1.246687766,0.26,84,52,18,57,15,4,0,1
99,83,Vermont,family premium,annual,annual,debit,none,9/19/2018,11.96419529,1.39866988,0.35,206,131,28,30,10,3,0,0
100,24,Georgia,premium,monthly,annual,debit,few,9/19/2014,11.62676199,1.764222104,0.09,151,140,25,99,8,8,191,0
101,28,West Virginia,premium,annual,monthly,venmo,some,4/28/2018,2.951714778,0.790635483,0.63,39,29,12,96,18,9,70,0
102,32,Nebrasksa,premium,monthly,monthly,credit,none,5/1/2018,15.08760573,2.641152428,0.08,193,111,19,93,12,3,147,1
103,42,Washington,family premium,annual,annual,credit,none,2/1/2019,3.574260305,0.3863681301,0.73,47,30,10,66,15,8,1,0
104,18,West Virginia,family premium,annual,annual,credit,some,4/30/2018,22.15425198,2.200714411,0.03,384,329,38,90,18,6,0,0
105,67,Maine,basic,annual,annual,credit,some,6/2/2016,11.93223483,1.844702141,0.34,185,145,21,61,8,8,65,1
106,19,West Virginia,student,annual,monthly,venmo,many,5/21/2013,15.29156506,1.937332814,0.68,197,124,27,114,17,6,144,0
107,42,New Jersey,premium,annual,annual,credit,some,6/5/2017,9.82168587,1.304577165,0.17,196,138,26,87,12,12,157,0
108,42,Maine,basic,annual,monthly,credit,few,1/3/2015,29.00204845,1.896937092,0.93,487,271,50,90,8,8,91,0
109,79,Utah,family premium,annual,annual,credit,some,5/17/2016,6.447839027,0.7636082203,0.41,90,62,12,52,6,6,2,0
110,31,North Dakota,premium,monthly,annual,credit,none,11/9/2020,22.52155099,0.8141717001,0.25,296,161,35,86,18,9,46,0
111,82,New Jersey,basic,monthly,annual,venmo,some,5/11/2014,21.12767287,1.895121154,0.18,416,252,49,33,13,13,96,0
112,69,West Virginia,premium,monthly,monthly,venmo,few,10/10/2018,7.563782866,0.7348470266,0.48,92,52,14,56,17,9,71,1
113,79,Georgia,basic,annual,monthly,venmo,many,8/18/2013,4.631590048,0.1082914327,0.24,76,60,15,36,10,5,234,0
114,86,California,family premium,annual,monthly,venmo,some,12/26/2018,19.50051296,0.8143866369,0.23,283,164,32,27,15,15,0,0
115,34,Florida,premium,annual,monthly,credit,some,6/20/2020,8.451935018,0.1854519748,0.40,141,133,17,70,8,8,64,0
116,20,Nebrasksa,student,annual,annual,debit,few,11/30/2016,23.95513931,0.8009960867,0.62,326,219,42,102,11,11,275,1
117,29,Utah,premium,annual,monthly,debit,few,10/23/2014,10.08005364,1.715151233,0.25,191,105,20,89,5,5,379,1
118,86,Maine,basic,annual,annual,venmo,some,10/6/2015,16.03439436,1.165324965,0.41,199,147,29,31,7,7,172,0
119,57,Montana,basic,annual,annual,credit,none,8/29/2021,9.323785904,0.6595526391,0.33,170,104,19,39,9,9,36,1
120,32,Vermont,basic,annual,annual,credit,few,1/6/2020,9.326267581,0.3600687826,0.04,150,119,15,70,9,9,41,0
121,45,Washington,basic,annual,annual,venmo,many,7/18/2013,7.803727613,0.4104159303,0.08,131,67,23,88,13,7,104,0
122,19,California,basic,annual,monthly,debit,some,10/15/2018,28.35179785,3.509749642,0.59,377,341,42,92,12,3,102,0
123,68,New Jersey,basic,monthly,annual,credit,none,12/6/2019,0.02929278074,0.4383433186,0.65,0,0,1,42,14,4,148,0
124,45,North Carolina,family premium,annual,annual,debit,few,3/6/2020,25.37420862,4.170721597,0.10,382,247,43,75,21,7,2,0
125,41,Virginia,family premium,annual,annual,credit,none,8/21/2017,8.874553313,0.7438756327,0.35,137,129,18,82,9,9,2,0
126,32,West Virginia,family premium,annual,monthly,venmo,few,5/11/2020,22.34092882,0.02551576673,0.43,358,224,36,76,17,4,0,0
127,82,Georgia,basic,annual,annual,credit,some,12/19/2019,3.849028434,0.8478890664,0.23,65,59,10,42,8,4,46,0
128,38,Wisconsin,family premium,annual,annual,credit,none,3/25/2017,24.26236347,2.400029365,0.60,366,327,45,85,13,13,2,0
129,23,Vermont,premium,annual,annual,debit,many,7/24/2016,20.29004083,0.6426875344,0.34,276,194,32,94,9,3,63,0
130,77,Maine,premium,annual,monthly,credit,many,11/19/2020,20.51584746,2.254824904,0.25,254,196,33,45,7,7,131,0
131,35,Florida,family premium,annual,annual,credit,some,2/3/2016,20.49095265,2.974841529,0.33,255,187,29,96,11,11,1,0
132,76,New York,family premium,annual,annual,venmo,some,6/11/2014,14.40403675,2.184678642,0.09,202,111,24,44,10,3,2,0
133,27,Florida,premium,annual,monthly,venmo,none,9/24/2015,18.82353928,1.594562375,0.28,280,148,37,91,11,3,89,0
134,80,Utah,basic,annual,annual,venmo,few,4/28/2019,5.794061587,0.7143521866,0.60,90,88,12,36,4,1,56,0
135,64,Florida,family premium,annual,annual,credit,few,11/8/2016,27.11295415,1.160306525,0.02,364,364,45,56,10,3,2,0
136,79,Virginia,premium,monthly,annual,credit,many,12/7/2020,26.8170863,3.151325211,0.21,456,291,54,22,12,12,49,1
137,22,New York,student,monthly,monthly,credit,none,7/11/2021,1.880183426,0.8430349393,0.52,23,18,4,88,12,4,103,1
138,84,South Carolina,premium,monthly,monthly,venmo,some,9/10/2020,4.417490888,0.8194470643,0.70,88,63,13,21,21,5,75,1
139,73,Idaho,family premium,annual,annual,credit,few,10/8/2016,16.5795845,0.6286517262,0.16,292,251,35,42,6,2,1,0
140,44,California,family premium,annual,monthly,debit,many,10/23/2015,18.00670988,2.107935547,0.98,332,174,43,72,13,7,1,0
141,44,Florida,basic,annual,monthly,credit,many,8/1/2014,16.62804762,1.229795868,0.46,240,205,34,74,11,11,194,0
142,58,New Jersey,basic,annual,annual,credit,many,4/20/2019,5.598833916,1.746178123,0.46,85,50,17,64,15,5,72,0
143,60,New York,basic,annual,annual,credit,none,7/24/2015,2.847515193,0.7428435243,0.47,46,24,5,57,10,3,135,0
144,33,West Virginia,family premium,annual,annual,credit,few,3/31/2013,16.58340036,1.670717453,0.85,285,265,38,89,18,5,0,0
145,77,Alabama,family premium,annual,monthly,venmo,few,1/8/2015,14.92403875,2.056319114,0.50,214,143,21,38,8,3,0,0
146,52,North Carolina,family premium,annual,annual,debit,many,1/23/2013,29.72536921,2.681874745,0.02,389,382,46,63,18,6,1,0
147,35,New Jersey,family premium,annual,annual,credit,some,5/12/2019,3.624248968,1.352153486,0.41,45,34,7,75,14,5,0,1
148,24,California,student,annual,monthly,debit,few,9/24/2014,29.0731007,3.11856746,0.89,357,340,40,97,12,12,95,0
149,45,Washington,family premium,annual,annual,debit,some,7/30/2020,18.80405898,1.407563357,0.37,260,182,26,59,12,6,2,1
150,43,Montana,basic,annual,annual,credit,some,10/24/2015,9.202221965,1.079875381,0.04,116,74,14,82,8,2,311,0
151,54,West Virginia,family premium,annual,annual,credit,few,8/31/2019,19.69461706,0.8626388973,0.05,265,171,36,54,20,20,0,0
152,29,Wisconsin,premium,monthly,monthly,credit,some,3/21/2013,0.6265897456,0.8118055858,0.33,8,6,1,93,14,14,118,0
153,36,Nebrasksa,family premium,annual,annual,debit,few,11/25/2018,27.55696992,2.407128995,0.43,419,217,43,79,11,4,0,1
154,58,New Jersey,family premium,annual,annual,venmo,few,6/1/2015,25.26712691,0.1461016338,0.07,374,291,38,58,15,8,1,0
155,53,Washington,basic,annual,annual,credit,few,5/22/2015,9.559592972,0.8310545161,0.53,168,97,23,78,13,3,156,1
156,70,North Carolina,premium,annual,annual,debit,many,1/31/2019,9.585130402,0.5513411313,0.36,154,82,18,44,20,10,139,0
157,31,North Carolina,basic,annual,monthly,debit,few,10/6/2014,1.651889301,0.5243144536,0.75,31,30,7,86,21,21,106,1
158,85,Alabama,premium,monthly,annual,credit,few,7/20/2013,4.358719304,0.8349681554,0.84,68,40,17,30,11,6,125,0
159,26,Georgia,premium,monthly,monthly,credit,few,8/31/2020,7.28195478,1.910602224,0.00,142,98,16,78,8,4,110,1
160,47,Virginia,family premium,annual,annual,credit,some,12/25/2020,26.10941102,1.951564848,0.04,361,206,44,70,12,6,1,0
161,82,Nebrasksa,family premium,annual,annual,debit,none,11/26/2020,6.038351317,0.03828101131,0.87,80,52,8,17,11,6,1,0
162,70,New York,basic,annual,annual,debit,few,8/16/2020,1.870384877,0.8649011483,0.32,28,17,4,41,10,5,44,0
163,69,Maine,family premium,annual,annual,credit,none,1/21/2014,1.683326495,0.974295503,0.37,21,12,2,63,8,2,2,0
164,37,Florida,premium,monthly,annual,credit,few,7/1/2013,28.32881183,2.918459817,0.02,373,206,46,95,11,4,122,0
165,50,Florida,basic,annual,annual,credit,some,5/8/2018,16.58886209,1.203373618,0.25,236,159,33,60,8,2,119,0
166,62,South Carolina,family premium,annual,annual,credit,some,3/18/2015,17.3717002,1.949136741,0.45,316,238,41,70,19,10,1,0
167,79,Alabama,family premium,annual,annual,debit,none,2/29/2016,29.28713035,1.966567144,0.21,384,210,39,37,11,4,1,0
168,78,West Virginia,family premium,annual,annual,debit,many,4/9/2014,25.71802698,2.512009191,0.29,334,208,43,36,19,6,2,0
169,30,California,family premium,annual,annual,debit,some,12/4/2016,29.70338136,3.900246589,0.01,450,367,53,76,12,4,1,0
170,69,Nebrasksa,premium,monthly,annual,credit,none,6/20/2019,5.629494567,0.2680853577,0.21,89,49,15,42,12,3,61,1
171,79,California,basic,annual,annual,credit,few,9/9/2019,2.65198073,0.763281363,0.17,40,24,10,40,13,4,40,0
172,44,South Carolina,basic,annual,annual,debit,few,3/26/2014,29.65807402,4.227026078,0.19,501,322,60,84,19,19,160,0
173,23,Wisconsin,family premium,annual,annual,debit,some,11/26/2018,4.345261685,1.301989539,0.13,60,35,13,91,11,6,2,0
174,66,Virginia,family premium,annual,annual,debit,few,1/14/2015,28.01056464,0.704030753,0.15,380,231,46,64,11,3,1,0
175,86,Utah,family premium,annual,annual,credit,few,6/21/2017,17.99005144,0.8142077533,0.09,334,172,43,23,6,6,0,0
176,36,Virginia,family premium,annual,annual,venmo,some,1/15/2018,29.38872177,3.506394136,0.76,484,353,50,72,12,3,2,0
177,33,South Carolina,family premium,annual,monthly,venmo,few,9/9/2021,18.02817648,1.698551174,0.29,339,184,37,72,20,10,1,0
178,31,New Jersey,family premium,annual,annual,credit,many,11/20/2015,6.098073396,0.1123719928,0.42,117,74,12,94,15,4,1,0
179,49,Vermont,basic,annual,annual,credit,few,10/12/2018,2.214947294,0.7144949835,0.32,31,29,12,70,11,11,195,0
180,25,California,student,monthly,annual,debit,some,11/2/2017,3.809367852,0.2758944775,0.37,50,42,5,103,14,4,61,1
181,45,Alabama,student,monthly,annual,venmo,none,2/20/2021,29.52356792,1.040890508,0.11,422,217,52,53,9,2,32,0
182,61,North Dakota,family premium,annual,annual,credit,many,2/26/2017,17.60366414,1.481857782,0.76,314,299,34,44,16,4,1,0
183,30,Georgia,premium,annual,monthly,credit,few,12/26/2016,12.81361127,0.2650795471,0.20,241,176,28,96,11,4,67,0
184,28,New Jersey,premium,annual,annual,debit,few,8/29/2014,0.8353972702,0.5765782189,0.04,12,6,1,104,14,4,202,0
185,31,Maine,premium,annual,annual,debit,many,5/9/2016,18.30814635,0.2915133982,0.08,363,199,45,94,5,5,87,0
186,78,Washington,family premium,annual,monthly,credit,none,3/26/2015,12.90732135,0.2286886593,0.98,258,161,32,38,15,8,0,0
187,71,West Virginia,family premium,monthly,annual,credit,some,7/22/2016,28.1867988,1.902093101,0.03,432,326,50,39,18,18,1,1
188,78,Wisconsin,basic,annual,annual,credit,few,5/6/2018,4.267053078,0.9129833192,0.16,63,35,13,30,13,7,45,0
189,72,Utah,basic,annual,annual,credit,few,1/27/2014,27.02097196,1.112660851,0.01,353,177,41,57,4,1,74,0
190,46,Nebrasksa,family premium,annual,annual,venmo,many,1/15/2019,21.80700911,2.140542801,0.12,286,160,33,70,12,6,2,0
191,59,New Jersey,family premium,annual,annual,debit,many,6/27/2015,16.35264987,2.543031736,0.26,247,219,33,62,12,6,0,0
192,76,California,family premium,monthly,annual,credit,some,1/27/2021,30.37785061,2.466412182,0.74,437,392,47,21,15,15,2,0
193,43,California,premium,monthly,annual,credit,none,9/23/2013,4.449650417,0.6255846985,0.15,74,53,17,73,14,4,182,0
194,62,Utah,family premium,annual,annual,debit,few,9/2/2013,10.31011889,1.539564573,0.17,163,83,16,62,6,3,0,0
195,75,North Carolina,student,monthly,monthly,credit,few,1/30/2019,15.15789075,2.168534386,0.20,195,128,24,40,20,20,223,0
196,23,California,premium,monthly,monthly,credit,none,6/7/2014,20.67956642,1.023558574,0.49,334,237,41,110,13,3,87,1
197,24,Georgia,student,annual,monthly,debit,some,7/4/2013,29.81517343,1.344269991,0.18,424,248,45,111,9,3,99,0
198,42,Virginia,family premium,annual,annual,credit,few,4/6/2021,6.548757413,0.002229185162,0.44,88,75,18,79,11,6,2,0
199,76,Washington,family premium,annual,annual,debit,some,4/22/2020,19.39119641,1.370220613,0.33,280,174,33,42,15,4,1,0
200,59,Wisconsin,family premium,annual,annual,venmo,none,10/4/2013,16.57083305,1.863341039,0.16,201,159,23,54,11,4,1,0
201,55,Georgia,basic,annual,monthly,credit,some,6/11/2013,4.374935631,1.019499628,0.84,76,60,15,69,10,3,153,0
202,84,Washington,basic,annual,annual,debit,many,2/6/2019,16.15090622,1.999285682,0.70,274,202,28,29,15,15,44,0
203,18,Alabama,student,monthly,monthly,venmo,many,6/4/2014,10.44324449,1.687417936,0.41,140,81,20,106,11,6,131,0
204,65,Utah,family premium,monthly,annual,debit,none,7/30/2021,28.82637117,3.316911432,0.05,528,521,60,49,3,2,0,1
205,82,Vermont,family premium,annual,monthly,credit,none,10/24/2021,0.6134588818,0.678251851,0.81,9,5,8,28,11,11,0,0
206,51,Georgia,family premium,monthly,annual,credit,few,7/30/2017,25.64948407,2.563239498,0.53,423,274,43,55,9,9,1,0
207,54,Nebrasksa,family premium,annual,annual,credit,none,11/26/2018,13.40799294,1.205906002,0.91,209,135,21,53,13,7,0,0
208,40,Alabama,premium,monthly,annual,debit,some,2/24/2014,0.1338900503,0.1041267964,0.46,2,2,1,77,11,6,119,0
209,57,Washington,basic,annual,annual,debit,some,1/22/2014,15.54035543,2.252279138,0.10,286,195,29,60,12,3,85,0
210,79,Georgia,premium,annual,monthly,credit,few,9/1/2017,15.76134347,2.466526572,0.06,281,250,31,43,10,5,250,0
211,35,Florida,premium,monthly,annual,debit,some,10/28/2017,4.769711551,1.120484618,0.35,73,69,16,93,10,3,69,0
212,27,West Virginia,student,monthly,monthly,venmo,few,3/28/2015,20.13568783,0.02757514705,0.57,250,146,26,92,19,10,87,0
213,21,Washington,basic,monthly,annual,debit,few,10/16/2013,22.86506119,1.760467456,0.33,375,221,46,114,14,14,416,0
214,54,Alabama,student,annual,annual,venmo,some,11/27/2021,14.61823237,1.73233691,0.21,253,132,28,61,11,11,30,0
215,61,Virginia,family premium,annual,monthly,venmo,few,8/3/2016,14.07029939,2.24586899,0.04,246,142,32,48,12,4,0,0
216,65,North Carolina,basic,annual,annual,credit,some,12/5/2019,16.68198264,2.755152631,0.04,329,251,34,37,20,5,148,0
